Unnamed: 0,train_loss_mean,train_loss_std,train_acc_mean,train_acc_std,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std
77,0.26956763526797295,0.04084221682416634,0.9000333333333334,0.01469598868172308,0.37171597397327416,0.0642740561916301,0.8676599999999999,0.019084103332354954
78,0.2615452454090118,0.025174081016346217,0.9021866666666668,0.009653715462049975,0.379268350481987,0.056523702134561454,0.8657199999999999,0.014735060230620042
79,0.25738492441177374,0.009942962087027116,0.9034099999999998,0.005238394580191257,0.3888499375581741,0.09499801437654579,0.86624,0.02137119556786658
80,0.27275005996227264,0.03831646217434069,0.8988866666666666,0.012610987273009229,0.3537061046361923,0.02458773202372524,0.87414,0.009198532491653186
81,0.2521835786402225,0.018466382566039476,0.9053266666666666,0.008670380614482887,0.3528133173584938,0.035585166861546585,0.87462,0.010563948125582633
82,0.2588251346349716,0.021133862734287055,0.9032266666666665,0.008887269296896287,0.35133785742521284,0.009060684547967077,0.87242,0.002981107176872372
83,0.24911539116501807,0.012889140024127974,0.9064366666666667,0.0051520411273375585,0.38646506947278975,0.06135258704994687,0.8629999999999999,0.01904534063754177
84,0.25710421004891393,0.016338819505389204,0.9026333333333334,0.007085323249898685,0.4431547088027,0.1870185060123771,0.8566800000000001,0.034403880595072434
85,0.2751841757297516,0.058598911835904086,0.8980599999999999,0.018874621409006666,0.38318051433563227,0.08329258450854397,0.86542,0.02065180379531048
86,0.2526852430701256,0.018956695737668897,0.9042866666666667,0.007127094234133737,0.33990597391128546,0.032586735394323524,0.8774599999999999,0.01220913592356151
87,0.24891300359368324,0.029606571722052093,0.9063366666666667,0.012107908343080794,0.34133186870813365,0.027682969847328494,0.87632,0.011135394020868777
88,0.24252144837379452,0.016647776479188844,0.9087833333333334,0.006338112232097725,0.335738536298275,0.0218944569368118,0.87816,0.009095768246827778
89,0.24191843229532245,0.02591027852250445,0.9088900000000001,0.010887190485458918,0.324429160296917,0.013070989266834329,0.88182,0.005861057924982472
90,0.23559277391433717,0.020975963001891577,0.9122299999999999,0.00783918575703709,0.32386706119775777,0.014211881259899731,0.8824,0.005421715595639476
91,0.23528944358229636,0.02186480903615351,0.9120666666666667,0.008326822456508964,0.31989163398742676,0.011142993935737006,0.885,0.004844068537913181
92,0.22925912839174273,0.02352201397588802,0.91407,0.008999185148297284,0.3202132634520531,0.011392250864580624,0.8854999999999998,0.006329691935631625
93,0.22626756492257116,0.021240924020265877,0.9154533333333333,0.008365756922651254,0.3183398541212082,0.010997972480868763,0.88416,0.005413224547347005
