Unnamed: 0,train_loss_mean,train_loss_std,train_acc_mean,train_acc_std,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std
156,0.48686064958572395,0.007831829016266953,0.8752966666666667,0.0024876751752947813,0.4650237727165223,0.008206058461638919,0.8815799999999999,0.001966468916611711
157,0.48345259875059127,0.007706924751239704,0.8757966666666668,0.0023696694565557685,0.4617439264059066,0.008072284230653901,0.88218,0.0019677398201998187
158,0.48011654287576677,0.007583517490932849,0.8763233333333332,0.002265091364357911,0.4585340917110443,0.007940268177694852,0.88276,0.0019501282009139968
159,0.4768509304523468,0.00746165372952471,0.8769233333333334,0.0021513432496414494,0.45539275169372556,0.007809832928548838,0.8831800000000001,0.0019524343778985157
160,0.4736541366577149,0.007341450946505792,0.8774233333333333,0.002204906145646804,0.45231844782829284,0.0076810122601023555,0.88336,0.0019730686759461395
161,0.47052465140819555,0.007222954180956883,0.8779766666666667,0.00216033047883369,0.4493092143535614,0.007553831089503023,0.88382,0.0019149412523625908
162,0.4674607652425767,0.007106126497979518,0.87855,0.002164678575062189,0.4463636738061905,0.007428190220906921,0.8841800000000001,0.0020216330032921167
163,0.46446088582277295,0.0069910577559149645,0.8791499999999999,0.002158574632586148,0.44348006308078763,0.007303957682591349,0.8845599999999999,0.0020719555979798526
164,0.4615234276652336,0.006877545122771114,0.8796233333333333,0.0021126142309680924,0.44065706014633177,0.007181323886159684,0.88498,0.0020400980368600148
165,0.45864708542823796,0.00676564696998268,0.8801066666666667,0.0019949450006342294,0.4378933238983154,0.007060395121267817,0.8852799999999998,0.002268700068321062
166,0.4558303728699684,0.0066554393419702975,0.8805833333333333,0.0019174273852685666,0.43518726050853723,0.006941247259785609,0.8858,0.0021319005605327664
167,0.4530718028545381,0.006547022657856869,0.88107,0.001935106945077964,0.43253780841827394,0.006823723369634946,0.8862,0.0021897488440458307
168,0.45036994308233264,0.00644032398778339,0.8815366666666666,0.0019355375365917242,0.42994359195232396,0.006707729042677194,0.8865599999999999,0.002347977853387924
169,0.44772342354059214,0.006335382069217942,0.88196,0.001946528248503496,0.42740300714969637,0.006593476577820868,0.8871600000000001,0.002202952564173836
170,0.44513084352016447,0.006232053164554691,0.8823266666666667,0.001906443751537916,0.4249148410558701,0.0064808853486726815,0.88764,0.0020218803129759856
171,0.44259099662303925,0.0061304500955174064,0.8827833333333335,0.001808813300358978,0.42247772216796875,0.006370161384334707,0.88806,0.0021196697856034146
172,0.4401024869084358,0.006030670590964546,0.88315,0.0017732973053984334,0.4200904506444932,0.006261362454225363,0.8883599999999999,0.0021442947558579493
173,0.4376640251278877,0.00593266238317127,0.88357,0.0018231307017203776,0.4177518117427826,0.0061545979870614885,0.8886999999999998,0.0019313207915827662
174,0.4352742764353753,0.005836461013331234,0.8840299999999999,0.0018922135773273686,0.4154604905843735,0.006049525165453382,0.88914,0.0018595698427324127
175,0.432932049036026,0.005741972966004339,0.8844033333333334,0.0018274678899748219,0.41321530342102053,0.0059461145220884425,0.88954,0.0016682325976912892
176,0.4306361338496208,0.005649300595385878,0.8848633333333333,0.0017222159498093568,0.4110151982307434,0.00584436004896665,0.8898400000000001,0.0016831518053936649
177,0.42838541656732554,0.005558318004283245,0.8852533333333333,0.0017009964399988947,0.40885903477668767,0.00574435098613644,0.8903000000000001,0.0015280706789936116
