Unnamed: 0,train_loss_mean,train_loss_std,train_acc_mean,train_acc_std,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std
100,0.32151918426156045,0.0017213542681583337,0.9075866666666667,0.0008447879418331421,0.30739068657159807,0.0014073180251070818,0.91178,0.0013405222862749799
101,0.3203694826364517,0.0017190213928372354,0.9078599999999998,0.0008569649286224618,0.30634188145399094,0.0014032924976911582,0.91206,0.001293445012360429
102,0.3192373652756214,0.0017172996430195283,0.9081833333333333,0.0008648217542746036,0.30530972093343733,0.0013999126906335964,0.91238,0.0014060583202698458
103,0.31812217593193054,0.001716172216252985,0.9084866666666667,0.0008176354797694477,0.3042936867475509,0.0013972100472215427,0.9125399999999999,0.001472412985544445
104,0.31702330201864243,0.0017155529724093598,0.9087666666666667,0.0008369919686326571,0.3032932791113853,0.0013951616219409768,0.91274,0.0014536161804273048
105,0.3159402611851692,0.0017154081432260051,0.90906,0.0008085137255757533,0.30230779021978377,0.0013937328476388959,0.9129799999999999,0.0013405222862750397
106,0.3148725660145283,0.0017157337633383614,0.9093166666666667,0.0007628528327563589,0.3013366398215294,0.0013928377711064253,0.91334,0.00136308473691104
107,0.3138196611404419,0.0017165098949848924,0.9095666666666666,0.0008338331834232683,0.3003794077038765,0.0013923344523590082,0.9136599999999999,0.0013722244714331304
108,0.31278110131621367,0.001717843935580023,0.9098466666666667,0.000836278130236065,0.29943602144718173,0.0013922260536604124,0.9138999999999999,0.0014282856857085859
109,0.311756372153759,0.0017196861961394257,0.9101433333333334,0.0008052432344743122,0.29850590527057647,0.001392409910688229,0.9141199999999999,0.001470374102057032
110,0.31074508070945744,0.0017220142675381286,0.91041,0.0008084278295281539,0.29758852273225783,0.0013928733753192446,0.9143799999999999,0.0015023315213360344
111,0.3097468200325966,0.0017246486853292383,0.9106866666666666,0.0007837233071832726,0.29668348759412766,0.0013936831945712447,0.9145,0.0013266499161421487
112,0.3087613353133202,0.001727584645411037,0.9109366666666666,0.0007540078101569669,0.29579059809446334,0.0013950192607174931,0.9146999999999998,0.0013416407864998362
