,train_loss,train_acc,test_loss,test_acc
0,2.306789975166321,0.08725,2.265930624008179,0.1462
1,2.2651407527923584,0.14763333333333334,2.2249156713485716,0.249
2,2.2251673316955567,0.24928333333333333,2.183678159713745,0.3548
3,2.1849263095855713,0.35768333333333335,2.140448694229126,0.4652
4,2.142709240913391,0.46205,2.09375403881073,0.5485
5,2.097094190120697,0.5397833333333333,2.042333686351776,0.6045
6,2.0468382668495178,0.5922833333333334,1.9850670933723449,0.6376
7,1.9908444464206696,0.6274166666666666,1.9210494303703307,0.6599
8,1.9282351350784301,0.6521666666666667,1.8497116112709044,0.6797
9,1.8584781467914582,0.67095,1.7711896395683289,0.6954
10,1.781657668352127,0.686,1.6866400289535521,0.7112
11,1.698899540901184,0.7003166666666667,1.5981249141693115,0.7256
12,1.6122064292430878,0.7131,1.5079474878311157,0.7363
13,1.5237803757190704,0.72525,1.4179286909103395,0.7494
14,1.4353419756889343,0.7375,1.3295921635627748,0.7608
15,1.3483605480194092,0.75125,1.2442083716392518,0.773
16,1.2640887761116029,0.7649,1.1629190146923065,0.7849
17,1.1836605656147003,0.777,1.0868537735939026,0.801
18,1.1082122349739074,0.7888,1.0171755516529084,0.8101
19,1.0389167088270188,0.7996,0.9544686341285705,0.8179
20,0.9764247852563858,0.8090666666666667,0.8987219142913818,0.8266
21,0.9207596242427826,0.8164,0.8493888807296753,0.8318
22,0.8714084768295288,0.8223666666666667,0.8057587277889252,0.8368
23,0.8276914787292481,0.8270666666666666,0.76711012840271,0.8416
24,0.7889170718193054,0.8320166666666666,0.7327908229827881,0.8443
25,0.7544396495819092,0.8367333333333333,0.702203140258789,0.8467
26,0.7236759328842163,0.8401,0.6748414456844329,0.8504
27,0.6961254072189331,0.8438833333333333,0.6502677243947983,0.8533
28,0.6713588470220566,0.8468333333333333,0.6281057131290436,0.8567
29,0.6490012031793594,0.8496166666666667,0.6080425953865052,0.8591
30,0.6287399053573608,0.8522166666666666,0.589804185628891,0.8622
31,0.6103072836995125,0.8551,0.5731667006015777,0.8648
32,0.5934784072637558,0.8578666666666667,0.5579329025745392,0.8659
33,0.5780599775910378,0.8603666666666666,0.5439382117986679,0.8676
34,0.5638872507214546,0.8617166666666667,0.5310393965244293,0.8696
35,0.5508201977610588,0.8640166666666667,0.519114819765091,0.8718
36,0.5387359789013862,0.8660166666666667,0.5080652159452438,0.873
37,0.52753008633852,0.8675666666666667,0.49779615342617034,0.8747
38,0.5171103832125664,0.8697,0.4882328650355339,0.877
39,0.507398615181446,0.8714,0.4793066194653511,0.8789
40,0.4983269262313843,0.8726833333333334,0.4709561303257942,0.8809
41,0.48983605921268464,0.8739166666666667,0.46312895983457564,0.8821
42,0.4818713712692261,0.8754333333333333,0.455776407122612,0.8832
43,0.4743862348794937,0.8766666666666667,0.44886176228523256,0.8844
44,0.4673404502868652,0.8780666666666667,0.4423401954770088,0.8857
45,0.4606961566209793,0.8792666666666666,0.43619327157735827,0.8861
46,0.45442057073116304,0.8802333333333333,0.43036948442459105,0.8871
47,0.44848532319068907,0.8814666666666666,0.4248813724517822,0.8876
48,0.44286396384239196,0.8825833333333334,0.4196448150277138,0.888
49,0.4375339555740356,0.8833833333333333,0.414739790558815,0.8889
50,0.4324780443310738,0.8843833333333333,0.4100087961554527,0.8895
51,0.4276846331357956,0.8849,0.40567270666360855,0.8906
52,0.423152896463871,0.88625,0.4014152804017067,0.8912
53,0.4188973528146744,0.88605,0.3977782529592514,0.8919
54,0.41496642112731935,0.8881,0.3941496655344963,0.8929
55,0.41146735221147535,0.8873833333333333,0.3917912042140961,0.8938
56,0.40860151141881945,0.8889333333333334,0.38954839736223223,0.8932
57,0.40672520458698275,0.88665,0.38991550356149673,0.8936
58,0.406182995736599,0.88805,0.3898349505662918,0.8893
59,0.4068072262406349,0.8835166666666666,0.3904208192229271,0.8895
60,0.4061692926287651,0.88565,0.3873540788888931,0.8894
61,0.4041038426756859,0.8831666666666667,0.3846596667170525,0.891
62,0.40024659037590027,0.8869166666666667,0.3811155804991722,0.8907
63,0.3976810523867607,0.8850833333333333,0.37893099248409273,0.8925
64,0.39435296520590785,0.8888166666666667,0.3755598902702332,0.8924
65,0.3919393813610077,0.8865166666666666,0.3735122360289097,0.8943
66,0.38877683609724045,0.8904,0.37024455577135085,0.8938
67,0.3864387667179108,0.8879,0.36832311913371085,0.896
68,0.3834349910914898,0.8919333333333334,0.36518284916877747,0.8961
69,0.3811922964453697,0.8894,0.36336791798472406,0.8975
70,0.378330607265234,0.8932166666666667,0.3603428727388382,0.8967
71,0.37616572409868243,0.8907833333333334,0.3586203557252884,0.8991
72,0.37343785747885705,0.8945166666666666,0.3556887684762478,0.8977
73,0.37132447242736816,0.8922,0.3540590374171734,0.9007
74,0.3687345762550831,0.8958333333333334,0.35122055396437646,0.8985
75,0.3666661532223225,0.8933666666666666,0.34968203350901605,0.9012
76,0.3642137937247753,0.8971166666666667,0.34691242411732676,0.8999
77,0.36216661617159845,0.8948333333333334,0.34547494649887084,0.9024
78,0.35986184015870093,0.8981833333333333,0.34278249874711036,0.9013
79,0.3578439556062222,0.8963166666666667,0.34143572628498076,0.9037
80,0.3556793019175529,0.8991,0.3388324269652367,0.9034
81,0.35369962379336356,0.8974666666666666,0.33754040390253065,0.9051
82,0.35163992136716843,0.8999833333333334,0.33503179758787155,0.9039
83,0.34970243871212003,0.8986666666666666,0.33377442494034765,0.906
84,0.34773347854614256,0.9010166666666667,0.33136344343423846,0.9046
85,0.3458366759121418,0.89995,0.3301487934589386,0.9075
