,train_loss,train_acc,test_loss,test_acc
0,2.3008647918701173,0.1075,2.2883447217941284,0.1137
1,2.290240547657013,0.11138333333333333,2.277554540634155,0.1211
2,2.2796894335746765,0.11766666666666667,2.266829643249512,0.1321
3,2.2692021799087523,0.128,2.256155242919922,0.1504
4,2.2587639617919923,0.14368333333333333,2.2455109548568726,0.1759
5,2.2483570122718812,0.16676666666666667,2.2348774528503417,0.2102
6,2.2379608869552614,0.1973,2.224232511520386,0.2515
7,2.2275567197799684,0.23726666666666665,2.213557786941528,0.2963
8,2.217125174999237,0.28583333333333333,2.2028372383117674,0.3485
9,2.206650683879852,0.3370666666666667,2.192052583694458,0.394
10,2.1961169624328614,0.3841333333333333,2.1811899757385254,0.4346
11,2.1855092883110045,0.4242166666666667,2.170236449241638,0.4698
12,2.1748139810562135,0.46068333333333333,2.15917706489563,0.5015
13,2.1640188908576965,0.48946666666666666,2.1480022478103638,0.5233
14,2.15311350107193,0.5144833333333333,2.136703143119812,0.5461
15,2.1420888781547545,0.5357833333333333,2.1252728366851805,0.564
16,2.130935914516449,0.554,2.113703660964966,0.5796
17,2.1196479058265685,0.5701166666666667,2.1019889974594115,0.5928
18,2.1082189226150514,0.58375,2.090122628211975,0.6054
19,2.096643843650818,0.5961,2.078101577758789,0.6156
20,2.0849192237854,0.6061666666666666,2.0659270238876344,0.6252
21,2.0730417442321776,0.6163166666666666,2.0535935068130495,0.6332
22,2.0610090589523313,0.6247,2.0411003613471985,0.6389
23,2.0488198041915893,0.6322833333333333,2.0284470391273497,0.6455
24,2.0364731407165526,0.63925,2.0156319689750672,0.6519
25,2.0239687013626098,0.6457666666666667,2.0026542019844054,0.6583
26,2.011307330131531,0.6518333333333334,1.9895136880874633,0.6634
27,1.998490332365036,0.6567,1.9762132143974305,0.6677
28,1.9855183672904968,0.6611666666666667,1.962755742073059,0.6718
29,1.9723936378955842,0.6650666666666667,1.9491428637504578,0.6765
30,1.959117957353592,0.6690333333333334,1.935376796722412,0.68
31,1.9456930327415467,0.6727666666666666,1.9214614987373353,0.6833
32,1.9321216237545014,0.6762666666666667,1.9074008226394654,0.6865
33,1.9184067630767823,0.6793166666666667,1.8931966543197631,0.6897
34,1.904552686214447,0.6829833333333334,1.8788547754287719,0.6928
35,1.890562845468521,0.6854333333333333,1.8643781566619873,0.695
36,1.8764406502246858,0.688,1.8497685098648071,0.6983
37,1.8621908164024352,0.6903833333333333,1.835034430027008,0.7016
38,1.8478179168701172,0.69345,1.8201828026771545,0.7047
39,1.8333271765708923,0.6963666666666667,1.8052169132232665,0.7067
40,1.81872332572937,0.6987833333333333,1.7901393485069275,0.7094
41,1.8040107464790345,0.7015666666666667,1.7749555778503419,0.7112
42,1.7891945219039918,0.7041,1.7596704602241515,0.7137
43,1.7742815279960633,0.7066666666666667,1.7442909955978394,0.7165
44,1.75927685379982,0.7087,1.7288246941566467,0.7198
45,1.7441852116584777,0.711,1.7132754778862,0.7226
46,1.7290126824378966,0.713,1.6976531505584718,0.726
47,1.7137654888629914,0.7154833333333334,1.681962685585022,0.7288
48,1.698450266122818,0.7177333333333333,1.666211609840393,0.731
49,1.6830724346637727,0.7199,1.6504067516326903,0.7329
50,1.667638350725174,0.7222666666666666,1.6345533323287964,0.7354
51,1.6521537053585051,0.7245666666666667,1.6186581087112426,0.7376
52,1.6366257822513581,0.7268666666666667,1.6027306461334228,0.7406
53,1.6210606968402863,0.7286666666666667,1.5867752075195312,0.743
54,1.605464724302292,0.73105,1.5708001017570496,0.7455
55,1.589844595193863,0.7333833333333334,1.554811851978302,0.7478
